SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4587075182;01/08/2025;75182;MHR TRANSPORTE E COMERCIO DE CONFECCOES LTDA;RS;SANTA MARIA;153512;904706;AQUARELA BAZZE 12 CORES CJTO; 25,00 ; 4,82 ; 120,39 ;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;DERRETIMENTO;DEVOLUÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4587065795;01/08/2025;65795;PAPERBLUE DISTRIBUIDORA DE EQUIPAMEE PAPELARIA LTDA;PB;JOAO PESSOA;127846;904645;GRAMP BAZZE HEAVY DUTY B5100 100F MET UN; 1,00 ; 34,32 ; 34,32 ;;A E G REPRESENTACOES LTDA;UNIDADE;DEFEITO;NÃO ESTA GRAMPEANDO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4587068882;01/08/2025;68882;FRANCISCA DIAS DE ANDRADE RODRIGUES;PB;JOAO PESSOA;138000;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 5,00 ; 3,84 ; 19,20 ;;A E G REPRESENTACOES LTDA;DISPLAY;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4587175728;02/08/2025;75728;ROSELI GONCALVES FOTOCOPIAS;PR;CURITIBA;155682;909015;CANETA GEL APAGAVEL BAZZE 1.0MM DP24UN; 1,00 ; 84,36 ; 84,36 ;;ETK REPRESENTACOES COMERCIAIS LTDA;DISPLAY;DEFEITO;CANETAS SECAS;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4587676612;07/08/2025;76612;CASA MIX UTILIDADES DOMESTICAS BRINQUEDOS E PAPELARIA LTDA;PR;CURITIBA;123655;904706;AQUARELA BAZZE 12 CORES CJTO; 4,00 ; 4,54 ; 18,16 ;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4587676612;07/08/2025;76612;CASA MIX UTILIDADES DOMESTICAS BRINQUEDOS E PAPELARIA LTDA;PR;CURITIBA;119613;614564;PERF BAZZE 2 FUROS B6210 10F METAL PTOUN; 1,00 ; 5,90 ; 5,90 ;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;DEFEITO;NÃO FUNCIONA;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4587635714;07/08/2025;35714;STILL INFORMATICA LTDA ME;SP;CAPIVARI;156002;911438;ESTILETE PLAST ARTOOLS CART 1UN; 1,00 ; 10,00 ; 10,00 ;;M Y YAMAMOTO REPRESENTACAO;UNIDADE;DEFEITO;SEM DESCRIÇÃO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4587673861;07/08/2025;73861;HIPER DIFERENTE ATACADO DE VARIEDADES LTDA;SC;BALNEARIO CAMBORIU;146017;904706;AQUARELA BAZZE 12 CORES CJTO; 38,00 ; 4,02 ; 152,94 ;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;DERRETIMENTO;DEVOLUÇÃO;GABRIELA SOUZA DOS SANTOS
4588077586;11/08/2025;77586;MELANIA TEREZINHA CRUZ DE SOUZA;RS;VIAMAO;154344;904706;AQUARELA BAZZE 12 CORES CJTO; 12,00 ; 5,02 ; 60,24 ;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588027090;11/08/2025;27090;FRANCISCA SILVANA PINTO;PB;JOAO PESSOA;;612751;GRAMP BAZZE MINI B5101 COR PLAST CX12UN; 4,00 ; 4,22 ; 16,88 ;;A E G REPRESENTACOES LTDA;UNIDADE;DEFEITO;NÃO FUNCIONA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4588027090;11/08/2025;27090;FRANCISCA SILVANA PINTO;PB;JOAO PESSOA;;653235;CANETA GEL TRIS INKFINITY PASTEL BCO CX6; 4,00 ; 2,71 ; 10,84 ;;A E G REPRESENTACOES LTDA;UNIDADE;DEFEITO;FALHA NA ESCRITA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4588158696;12/08/2025;58696;JOSE DA PURIFICACAO RODRIGUES ME;PE;AFRANIO;73277;684222;MASSA MODELAR SUPERSOFT 12 CORES CX; 40,00 ; 4,29 ; 171,68 ;;MIGUEL TRAJANO REPRESENTACOES LTDA;UNIDADE;DEFEITO;MASSA FICOU RIGIDA;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4588158696;12/08/2025;58696;JOSE DA PURIFICACAO RODRIGUES ME;PE;AFRANIO;143426;905765;APONTADOR DEP DIVERTIDAMENTE  POTE 12UN; 1,00 ; 45,19 ; 45,19 ;;MIGUEL TRAJANO REPRESENTACOES LTDA;UNIDADE;DEFEITO;ABERTURA PARA APONTAR AO CONTRARIO;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4588360621;14/08/2025;60621;JOAO JANUARIO VIEIRA ME;SC;JOINVILLE;131086;904706;AQUARELA BAZZE 12 CORES CJTO; 12,00 ; 4,74 ;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4588360621;14/08/2025;60621;JOAO JANUARIO VIEIRA ME;SC;JOINVILLE;61951;618630;CALCULADORA MESA BAZZE B3440 CX 1UN; 1,00 ; 25,70 ;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;NÃO FUNCIONA;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4588327606;14/08/2025;27606;TOQUE DE PAPEL LIVRARIA HOBBY E PINTURA LTDA;RJ;RIO DE JANEIRO;;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 63,00 ;;;;ZIGURATE REPRESENTACOES LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588327606;14/08/2025;27606;TOQUE DE PAPEL LIVRARIA HOBBY E PINTURA LTDA;RJ;RIO DE JANEIRO;;903365;LAPIS COR TRIS RAINBOW NEON POTE24UN; 6,00 ;;;;ZIGURATE REPRESENTACOES LTDA;UNIDADE;DEFEITO;SEM MOTIVO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588429661;15/08/2025;29661;PAPELARIA FRADELLI LTDA;MS;CAMPO GRANDE;156233;906670;CARIMBO AUTO DUPLO TRIS NECTAR DP 24UN; 3,00 ; 54,60 ; 163,80 ;;REALSI REPRESENTACOES LTDA;DISPLAY;DEFEITO;ESPAÇAMENTO MAIOR QUE A EMBALAGEM;DEVOLUÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
